n= 8 T= 64 b=0.0 | real r1  0.971 rho 0.557 z    0.06 sE 0.518 | mis r1  0.980 | v2: r1  0.990 rho/real 0.99 z   12.89 pass 0.00 wrapped: r1  0.986 rho/real 1.00 z   13.32 pass 0.00 shift: r1  0.982 rho/real 1.00 z   -0.30 pass 0.00 | inv 0.0e+00 | 1s
n= 8 T= 64 b=2.0 | real r1  0.903 rho 0.670 z    3.60 sE 0.667 | mis r1  0.532 | v2: r1  0.880 rho/real 0.71 z   10.41 pass 0.00 wrapped: r1  0.900 rho/real 0.72 z   10.75 pass 0.00 shift: r1  0.441 rho/real 0.70 z    5.42 pass 0.00 | inv 0.0e+00 | 1s
n= 8 T= 64 b=4.0 | real r1 -0.391 rho 0.814 z   10.76 sE 0.814 | mis r1  0.747 | v2: r1  0.802 rho/real 0.31 z   29.56 pass 0.50 wrapped: r1  0.847 rho/real 0.33 z   30.13 pass 0.75 shift: r1  0.800 rho/real 0.31 z   27.29 pass 0.50 | inv 0.0e+00 | 2s
n= 8 T= 64 b=8.0 | real r1 -0.968 rho 0.990 z  -22.86 sE 0.990 | mis r1  0.964 | v2: r1  0.854 rho/real 0.16 z   77.29 pass 0.62 wrapped: r1  0.868 rho/real 0.17 z   77.67 pass 0.62 shift: r1  0.885 rho/real 0.16 z   77.23 pass 0.75 | inv 0.0e+00 | 3s
n= 8 T=256 b=0.0 | real r1  0.989 rho 0.518 z    0.05 sE 0.293 | mis r1  0.986 | v2: r1  0.996 rho/real 0.99 z   30.38 pass 0.00 wrapped: r1  0.996 rho/real 1.00 z   31.58 pass 0.00 shift: r1  0.992 rho/real 1.00 z    0.01 pass 0.00 | inv 0.0e+00 | 29s
n= 8 T=256 b=2.0 | real r1  0.912 rho 0.585 z    8.07 sE 0.566 | mis r1  0.512 | v2: r1  0.973 rho/real 0.74 z   19.65 pass 0.00 wrapped: r1  0.981 rho/real 0.76 z   19.60 pass 0.00 shift: r1  0.234 rho/real 0.73 z    7.64 pass 0.00 | inv 0.0e+00 | 56s
n= 8 T=256 b=4.0 | real r1  0.342 rho 0.689 z   41.11 sE 0.687 | mis r1 -0.246 | v2: r1  0.680 rho/real 0.32 z   68.21 pass 0.38 wrapped: r1  0.548 rho/real 0.34 z   72.35 pass 0.38 shift: r1 -0.423 rho/real 0.32 z   50.99 pass 0.00 | inv 0.0e+00 | 82s
n= 8 T=256 b=8.0 | real r1 -0.953 rho 0.955 z    3.46 sE 0.954 | mis r1  0.996 | v2: r1  0.997 rho/real 0.14 z  416.24 pass 1.00 wrapped: r1  0.997 rho/real 0.15 z  417.56 pass 1.00 shift: r1  0.994 rho/real 0.14 z  407.65 pass 1.00 | inv 0.0e+00 | 109s
n=14 T= 64 b=0.0 | real r1  0.980 rho 0.521 z    0.19 sE 0.496 | mis r1  0.980 | v2: r1  0.981 rho/real 0.99 z   10.49 pass 0.00 wrapped: r1  0.983 rho/real 1.00 z   11.34 pass 0.00 shift: r1  0.983 rho/real 1.00 z   -0.19 pass 0.00 | inv 0.0e+00 | 111s
n=14 T= 64 b=2.0 | real r1  0.887 rho 0.627 z    4.11 sE 0.624 | mis r1  0.713 | v2: r1  0.884 rho/real 0.66 z    7.58 pass 0.00 wrapped: r1  0.905 rho/real 0.69 z    8.58 pass 0.00 shift: r1  0.430 rho/real 0.66 z    3.76 pass 0.00 | inv 0.0e+00 | 113s
n=14 T= 64 b=4.0 | real r1 -0.048 rho 0.797 z    9.38 sE 0.797 | mis r1  0.719 | v2: r1  0.661 rho/real 0.27 z   22.65 pass 0.00 wrapped: r1  0.535 rho/real 0.29 z   25.26 pass 0.12 shift: r1  0.573 rho/real 0.26 z   19.76 pass 0.12 | inv 0.0e+00 | 115s
