n=12 T= 64 b=2.0 | real r1  0.917 sE 0.666 | mis r1  0.470 | v2: r1  0.862 full 0.00 robust 0.00 wrapped: r1  0.915 full 0.00 robust 0.00 shift: r1  0.350 full 0.00 robust 0.00 | inv 8.9e-16 | 2s
n=12 T= 64 b=4.0 | real r1 -0.353 sE 0.826 | mis r1  0.610 | v2: r1  0.775 full 0.25 robust 1.00 wrapped: r1  0.756 full 0.38 robust 1.00 shift: r1  0.559 full 0.12 robust 0.88 | inv 8.9e-16 | 3s
n=12 T= 64 b=6.0 | real r1 -0.904 sE 0.951 | mis r1  0.960 | v2: r1  0.875 full 0.62 robust 1.00 wrapped: r1  0.908 full 0.88 robust 1.00 shift: r1  0.887 full 1.00 robust 1.00 | inv 8.9e-16 | 5s
n=12 T= 64 b=8.0 | real r1 -0.971 sE 0.969 | mis r1  0.939 | v2: r1  0.850 full 0.62 robust 1.00 wrapped: r1  0.900 full 0.88 robust 1.00 shift: r1  0.918 full 0.88 robust 1.00 | inv 8.9e-16 | 7s
n=12 T=128 b=2.0 | real r1  0.916 sE 0.611 | mis r1  0.799 | v2: r1  0.947 full 0.00 robust 0.00 wrapped: r1  0.960 full 0.00 robust 0.00 shift: r1  0.460 full 0.00 robust 0.00 | inv 8.9e-16 | 15s
n=12 T=128 b=4.0 | real r1  0.148 sE 0.696 | mis r1 -0.197 | v2: r1  0.616 full 0.12 robust 1.00 wrapped: r1  0.629 full 0.12 robust 1.00 shift: r1 -0.416 full 0.00 robust 0.88 | inv 8.9e-16 | 23s
n=12 T=128 b=6.0 | real r1 -0.889 sE 0.913 | mis r1  0.986 | v2: r1  0.969 full 1.00 robust 1.00 wrapped: r1  0.964 full 1.00 robust 1.00 shift: r1  0.940 full 1.00 robust 1.00 | inv 1.8e-15 | 32s
n=12 T=128 b=8.0 | real r1 -0.966 sE 0.973 | mis r1  0.982 | v2: r1  0.967 full 1.00 robust 1.00 wrapped: r1  0.973 full 1.00 robust 1.00 shift: r1  0.964 full 1.00 robust 1.00 | inv 1.8e-15 | 40s
n=12 T=256 b=2.0 | real r1  0.906 sE 0.558 | mis r1  0.707 | v2: r1  0.937 full 0.00 robust 0.00 wrapped: r1  0.940 full 0.00 robust 0.00 shift: r1  0.295 full 0.00 robust 0.00 | inv 8.9e-16 | 100s
n=12 T=256 b=4.0 | real r1  0.001 sE 0.746 | mis r1 -0.421 | v2: r1  0.706 full 0.12 robust 1.00 wrapped: r1  0.707 full 0.12 robust 1.00 shift: r1 -0.116 full 0.00 robust 1.00 | inv 8.9e-16 | 162s
n=12 T=256 b=6.0 | real r1 -0.847 sE 0.885 | mis r1  0.966 | v2: r1  0.987 full 1.00 robust 1.00 wrapped: r1  0.988 full 1.00 robust 1.00 shift: r1  0.981 full 1.00 robust 1.00 | inv 1.8e-15 | 221s
n=12 T=256 b=8.0 | real r1 -0.966 sE 0.976 | mis r1  0.990 | v2: r1  0.988 full 1.00 robust 1.00 wrapped: r1  0.991 full 1.00 robust 1.00 shift: r1  0.984 full 1.00 robust 1.00 | inv 3.6e-15 | 280s
n=16 T= 64 b=2.0 | real r1  0.898 sE 0.678 | mis r1  0.723 | v2: r1  0.872 full 0.00 robust 0.00 wrapped: r1  0.873 full 0.00 robust 0.00 shift: r1  0.380 full 0.00 robust 0.00 | inv 4.4e-16 | 283s
n=16 T= 64 b=4.0 | real r1 -0.307 sE 0.831 | mis r1  0.623 | v2: r1  0.697 full 0.38 robust 1.00 wrapped: r1  0.675 full 0.12 robust 1.00 shift: r1  0.657 full 0.12 robust 1.00 | inv 8.9e-16 | 285s
