[transformers] The following generation flags are not valid and may be ignored: ['output_attentions']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
Loading weights:   0%|          | 0/290 [00:00<?, ?it/s]Loading weights:   0%|          | 1/290 [00:00<02:16,  2.11it/s]Loading weights:  59%|█████▉    | 172/290 [00:00<00:00, 396.09it/s]Loading weights:  93%|█████████▎| 271/290 [00:00<00:00, 513.37it/s]Loading weights: 100%|██████████| 290/290 [00:00<00:00, 409.58it/s]
windows 24 layers 24
WIN 0
WIN 4
WIN 8
WIN 12
WIN 16
WIN 20
worst invariant dev (sampled): 8.881784197001252e-16
layer | scol | smass | zmed_real | z_sinkfix | z_alt2 | r1_real | r1_sf | r1_a2 | rho/rhoA2 | sharedE | cv_gn
  0 |  62 | 0.11 |   -1.76 |   -0.07 | +19.13 | +0.88 | +1.00 | +0.98 | 0.41/0.33 | 0.35 | 0.51
  1 |   0 | 0.14 |   -2.61 |   -0.05 | +15.82 | +0.67 | +0.99 | +0.98 | 0.53/0.39 | 0.47 | 0.33
  2 |  60 | 0.16 |   -3.54 |   -0.14 | +17.01 | +0.79 | +0.97 | +0.95 | 0.55/0.28 | 0.53 | 0.23
  3 |   0 | 0.61 |   +9.88 |  +10.66 | +40.99 | +0.68 | +0.68 | +0.98 | 0.80/0.20 | 0.80 | 0.23
  4 |   0 | 0.43 |  +12.01 |  +10.35 | +26.35 | +0.87 | +0.90 | +0.98 | 0.76/0.26 | 0.75 | 0.33
  5 |   0 | 0.51 |  +13.24 |  +10.86 | +32.02 | +0.64 | +0.71 | +0.98 | 0.78/0.22 | 0.78 | 0.25
  6 |   0 | 0.43 |   +4.94 |   +4.97 | +26.91 | +0.69 | +0.75 | +0.95 | 0.78/0.26 | 0.77 | 0.17
  7 |   0 | 0.61 |  +10.51 |   +9.66 | +46.91 | +0.51 | +0.53 | +0.96 | 0.82/0.17 | 0.81 | 0.15
  8 |   0 | 0.29 |   +4.40 |   +3.31 | +28.14 | +0.51 | +0.86 | +0.98 | 0.60/0.26 | 0.59 | 0.32
  9 |   0 | 0.69 |   +9.40 |   +9.03 | +44.83 | +0.15 | +0.14 | +0.98 | 0.85/0.17 | 0.84 | 0.25
 10 |   0 | 0.41 |   +8.16 |   +6.51 | +26.64 | +0.84 | +0.87 | +0.96 | 0.78/0.27 | 0.77 | 0.32
 11 |   0 | 0.72 |   +5.86 |   +4.42 | +36.46 | -0.23 | -0.22 | +0.99 | 0.87/0.19 | 0.85 | 0.29
 12 |   0 | 0.37 |   +5.46 |   +4.35 | +21.69 | +0.83 | +0.86 | +0.96 | 0.76/0.29 | 0.75 | 0.32
 13 |   0 | 0.59 |   +6.34 |   +5.94 | +37.16 | +0.53 | +0.53 | +0.98 | 0.82/0.19 | 0.81 | 0.31
 14 |   0 | 0.37 |   +8.17 |   +6.71 | +20.24 | +0.89 | +0.90 | +0.96 | 0.78/0.27 | 0.77 | 0.34
 15 |   0 | 0.44 |   +4.76 |   +3.82 | +25.09 | +0.44 | +0.63 | +0.97 | 0.77/0.25 | 0.76 | 0.23
 16 |   0 | 0.86 |   -7.45 |   -7.53 | +62.04 | -0.51 | -0.52 | +0.95 | 0.96/0.13 | 0.94 | 0.11
 17 |   0 | 0.66 |  +10.45 |   +8.66 | +39.86 | +0.08 | +0.16 | +0.97 | 0.84/0.18 | 0.84 | 0.19
 18 |   0 | 0.61 |   +8.16 |   +7.53 | +42.51 | +0.50 | +0.50 | +0.97 | 0.85/0.17 | 0.85 | 0.18
 19 |   0 | 0.48 |  +11.51 |  +11.37 | +38.02 | +0.79 | +0.81 | +0.97 | 0.74/0.19 | 0.73 | 0.23
 20 |   0 | 0.64 |  +11.09 |   +7.68 | +37.49 | -0.06 | +0.08 | +0.97 | 0.83/0.18 | 0.83 | 0.20
 21 |   0 | 0.75 |   -8.69 |   -9.62 | +51.47 | -0.48 | -0.55 | +0.97 | 0.92/0.14 | 0.92 | 0.20
 22 |   2 | 0.20 |   -3.13 |   -2.61 | +10.54 | +0.83 | +0.86 | +0.72 | 0.84/0.40 | 0.85 | 0.09
 23 |   4 | 0.16 |   -1.74 |   -1.82 |  +8.68 | +0.70 | +0.93 | +0.98 | 0.75/0.36 | 0.75 | 0.31
